capability_id	class_role_content_state	donor_commit_symbols	tortoise_impl_registration_activation	target_data_requirements	disposition	reason	dependencies	packet	scenarios	evidence	limitations	source_present	registered	selected	contract_tested	client_accepted
M4-PULL-OWNERSHIP	Player vs autonomous pull (M4 verified)	S: same split	T: PullActions.cpp:52-108 player validation + anchor capture; PullTriggers.cpp:14-80 autonomous dungeon/tank/mana gates	None	implement	Distinct paths; only tank-capability gate shared (intentional)	Future A10	M4	A10	EVIDENCE.md M4	Needs pull runtime	yes	yes	yes	no	no
C-MAG	Mage slice (M5 audit)	M: proc/icy-veins/pet/sequence donor intent (WotLK — mostly N/A); S: strict-superset incl. TBC items	T: fillers all specs; fire-locked fallback; burst (AP/PoM/combustion/cold-snap); mana gem>evo>potion; survival; AoE gates; poly variants; curse cure; buff/conjure loop-guarded	Tortoise spell/item/aura IDs	implement	AUDIT DONE. Gaps: proc-blind (WotLK N/A); TBC re-adopt decisions (ice lance/arcane blast/spellsteal/invisibility/water elemental — data-check each); dead no-improved-scorch registration; cone-of-cold unwired	M5/M6	C-MAG	—	EVIDENCE.md M5	No ports (no compile); runtime proof pending	yes	yes	yes	no (slice activation)	no
C-WAR-PROT	Warrior Protection slice (M5 audit)	M: vigilance/spell-reflection/shockwave donor intent; S: Defensive-Tactics/heroic-throw/devastate/commanding gaps G1-G4	T: full prot rotation (taunt/shouts/block/revenge/sunder/HS gating/rage 20-40-60/cooldowns); tank alias→placeholder→protection-pve activation; legacy Tank file inert-unregistered	Tortoise stance/shield/talent/spell IDs	implement	AUDIT DONE. Gaps: interrupts CC-only (vs gameplay base); missing vigilance/pull/ranged/mock/intervene/CC-avoid; sunder>5 divergence risk; TBC-legality data checks each	M5/M6	C-WAR	—	EVIDENCE.md M5	No ports; runtime proof pending	yes	yes	yes	no (slice)	no
C-ROG	Rogue Combat slice (M5 audit)	M: energy-pooling/kick-reservation/almost-dead-dump (absent); cloak/tricks N/A (WotLK)	T: 3/4CP thresholds; stealth+behind openers with stealthed-multiplier guard; blind/vanish/evasion/feint; poisons; sap gate; GUID-gated combo loss; unconditional sinister fallback; expose-armor registered-unwired; Dps file inert-unregistered	Tortoise weapon/poison IDs	implement	AUDIT DONE. Gaps: no pooling/reservation (donor-mature, Tortoise-applicable — queued); expose-armor wire-or-remove; inert Dps disposition	M5/M6	C-ROG	—	EVIDENCE.md M5	No ports; runtime proof pending	yes	yes	yes	no (slice)	no
C-HUN	Hunter slice (M5 audit)	M: viper/misdirection correctly absent; disengage illegal-trap in inert file	T: active ZERO-vanilla stack (dead-zone 8yd, autoshot, aimed/arcane/mark/stings, traps w/ feign sequencing, aspects, feign-threat, flare); specs pass-through; feed-pet STUB (no food); distracting/wyvern dead regs	Tortoise spell/trap/ammo/pet IDs	implement	AUDIT DONE + PET-CC FIX (AttackAction pet now respects CC strip). Gaps: inert Generic files (disengage trap — never register); spec flavor; feed-real-food; combat pet recall/revive; aimed-autoshot weave guard	M5/M6	C-HUN	A09	EVIDENCE.md M5	Runtime proof pending	yes	yes	yes	no (slice)	no
C-PRI-HOLY	Priest Holy slice (M5 audit)	M: PoM/penance/binding/CoH/GS/PS/hymns/fiend/mass-dispel + efficiency optimizer (all TBC — correctly absent); S: same TBC surface	T: health-bucket ladder (shield+flash/greater/renew); PoH group AoE; dispel/cure; rez; inner-focus/PI/mana-burn; shadow DPS ladder; fort/spirit/fear-ward/racials; rank=highest-known confirmed	Tortoise talent/race-gated IDs (lightwell/PI/prayer-of-spirit/fear-ward/SW:Death-custom?)	implement	AUDIT DONE. No optimizer exists (bare-name macros; global mana-save only). SW:Death kept — verify Tortoise backport	M5/M6	C-PRI	A07	EVIDENCE.md M5	No ports; runtime proof pending	yes	yes	yes	no (slice)	no
C-SHA	Shaman slice (M6 audit)	M: wind-shear/maelstrom/riptide/heroism (WotLK N/A); S: ToW/WoA/earthliving (TBC-check-each)	T: OLD list-API + NEW vector-API parallel; shock (no interrupt branch); totems w/ rank tables + exclusions; resto ladder (chain-heal AoE-only); earth-shield raid-only; reincarnation unhandled both sides	Tortoise totem/shock/talent IDs	implement	AUDIT DONE. Leaks: totem range-mismatch churn; HaveAnyTotem no-owner suppression; triggers-while-moving; air-totem double-reg. No interrupt-shock branch (A08-class gap for shaman)	M6	C-SHA	—	EVIDENCE.md M6	No ports; runtime proof pending	yes	yes	yes	no (slice)	no
C-DRU	Druid slice (M6 audit)	M: solar/lunar-proc/savage-roar/wild-growth/cyclone (WotLK N/A); S: lifebloom/starfall present in Tortoise donor, dropped in T	T: forced-alias arbitration (bear/cat→placeholders); role-first + Primal-Fury-fallback (AiFactory.cpp:426-438) + THICK_HIDE/cat-form trigger layer; bear/cat/balance/resto/leveling kits; Tortoise eclipse cherry-pick	Tortoise form/talent/proc IDs + lifebloom/starfall legality	implement	AUDIT DONE. Reconciled: Primal-Fury in factory layer, aura/form in strategy layer — no contradiction. Gaps: lifebloom/starfall re-adopt decisions; dangling typhoon/FoN/maim/innervate triggers; prowl gates; hardcoded bear charge	M6	C-DRU	—	EVIDENCE.md M6	No ports; runtime proof pending	yes	yes	yes	no (slice)	no
C-PAL	Paladin slice (M6 audit + fix)	M: divine-storm/HotR/plea/AW/beacon (WotLK N/A); S: SoV-chain/reckoning/avenger (TBC-check-each)	T: dual arch (old vector + new list); priority arbitration; blessing role tables; fallback chains; FIX: Pve-combat blessing ran PvP tables (copy-paste) → pve	Tortoise seal/blessing/aura/talent IDs + Daybreak-51322 + exorcism mask	implement	AUDIT DONE + 1 FIX. Gaps: ArtOfWar dead trigger (only old-Dps exorcism driver); holy-shield/righteous-fury/consecration untalented fizzle; turn-undead/repentance eligibility delegated to generic cc-target value	M6	C-PAL	—	EVIDENCE.md M6	Runtime proof pending	yes	yes	yes	no (slice)	no
C-WLK	Warlock slice (M6 audit)	M: UA/backlash/shadowfury/felguard/soulshatter/seed (correctly absent)	T: DoT ladders (no TTD guard); Life-Tap double-guarded + Dark Pact divert; pet choice/control/upkeep; curse toggles; shard top-up only (create/destroy triggers DEAD wiring — no creators); pet spell-lock stack	Tortoise pet/curse/shard IDs	implement	AUDIT DONE + PET-GUARD EXTENSION (banish/invuln via IsImmuneToDamage — warlock audit caught the hole). Gaps: dead shard create/destroy wiring (wire-or-remove); no DoT lifetime guard	M6	C-WLK	A09	EVIDENCE.md M6	Runtime proof pending	yes	yes	yes	no (slice)	no
F02-QUEST-OWN	Owner-assisted quests (M7 audit)	S: identical families/defaults; cheats in both	T: packet triggers + accept/share/turn-in/reward + sync both directions + AutoPickReward	None	implement	Path complete; escort/scripted driver absent BOTH sides (parity, not gap); full-log drop-only noted	F02	F02	P02	EVIDENCE.md M7	Runtime quest-share proof pending	yes	yes	yes	no	no
F03-QUEST-AUTO	Autonomous quests (M7 audit)	S: identical	T: AutoDoQuests default-ON; RpgQuest selection; quest travel purposes; return journey; maintenance clean/auto-complete	None	implement	Journey complete in source; privileged auto-complete cheat-gated (both sides); restart survival pending runtime	F03	F03	P03/P04	EVIDENCE.md M7	Runtime journey proof pending	yes	yes	yes	no	no
F02-BLACKLIST	Quest blacklist parity (M7 fix)	S: blocks {50000 Malkovich, 50003 Papucho}	T: blocked only {50003} → added 50000	None	implement	One-line parity restoration	F02	F02	—	EVIDENCE.md M7	Needs no runtime	yes	yes	yes	no	no
F04-RPG	State of grind/RPG (M7 audit)	S: crowd-tally/RNG/patrol corrections newer	T: grind eligibility + RPG pool/choice/execute + starvation-safe priorities	None	implement	Shyalya corrections NOT ported (crowd tally, RNG source, patrol pause, taxi-cheat exclusion); AvoidCreature absent + avoid-area fail-closed + spell-click absent (no Tortoise core support found)	F04	F04	P06	EVIDENCE.md M7	Corrections queued (need compile); runtime pending	yes	yes	yes	no	no
F05-TAXI-FIXES	Taxi leg + funding bugs (M7 fixes)	S: retain-leg + exact-fund-restore	T: MinimalMove amputated rejected legs + reported success; RpgTaxi leaked 100k gold per rejection	None	implement	Both fixed mirroring donor semantics; TaxiAction chat path already clears correctly	F05	F05	P05	EVIDENCE.md M7	Runtime taxi proof pending	yes	yes	yes	no	no
F05-TRAVEL	State of travel (M7 audit)	S: regen-capable loader	T: purposes/routes/costs/failed-edges/faction gates; generators force-off (no PathInfo area query); empty tables degrade (direct navmesh, no fish)	Offline/bounded generation workflow	implement	No code change; F22 must deliver the data workflow; cross-map wayfinding lost while tables empty	F05/F22	F05	P05	EVIDENCE.md M7	DATA GAP recorded	yes	yes	yes	no (data)	no
F08-PROF-PET	Professions + pets (M7 audit)	S/M: same stub behavior (feed cheat in all three trees); recovery candidates scoped	T: 3-layer professions (node/travel + craft gates + trainer); no cook/fire loop (generic craft covers); no mining/skin tool checks; pet tame/rename/revive/dismiss/autocast covered by design; stabling absent-by-design; train-pet gap; relog/travel rely on native + no-pet triggers	Native pet/DBC APIs	implement	AUDIT DONE. Feed-real-food = enhancement beyond donors (NOT migration debt). Recovery candidates recorded (water-search, guardian fan-out iff APIs match; no stable import)	F08	F08	P07	EVIDENCE.md M7	Runtime gather→craft→pet journey pending	yes	yes	yes	no (journey)	no
F06-LOOT	Path map + rights/rolls (M7 audit)	S: line-identical except D1; M: thinner (must-not-port)	T: admission→selection→open→store→release; tap gate; slot/policy/master-loot rights; roll handlers + etiquette-degraded-to-immediate; skinning; full-bag metric + ladders	None	implement	No behavior gaps vs Shyalya except D1; modern divergences all favor Tortoise	F06	F06	P10	EVIDENCE.md M7	Runtime loot journey pending	yes	yes	yes	no (journey)	no
F06-D1-HOSTGAP	Admission-time loot permission (M7 host gap)	S: m_loot->CanLoot(bot); Penqle native: NO CanLoot — candidates LootItem::AllowedForPlayer + GetMaxSlotInLootFor	T: stubbed (void)bot; late per-slot skip prevents theft	Native accessor for creature loot	implement	DEFERRED to compilable environment: efficiency gap (wasted movement), NOT correctness (store-time skip holds). No blind port	F06	F06	—	EVIDENCE.md M7	Blocked on compile	yes	yes	yes	no	no
F06-HAZARDS	Loot hazards H1-H7 (M7 recorded)	—	T: partial-stack loss; gold no-retry; blind release sweep; optimistic drop; 30s windows; restart state loss; destroy-ladder expendability	None	implement	RECORDED as known limitations; fixes need runtime proof (no blind restructuring of loot flow)	F06	F06	P10	EVIDENCE.md M7	Known limits	yes	yes	yes	no	no
F07-GEAR	Gear scoring + training (M7 audit)	M: weightcalc/stat/bis N/A; S: same ZERO	T: DB scales → premade vs acquired vs consumables; idempotent steady-state; single-shot first-init	Weightscale/enchant data	implement	Modern managers correctly absent; additive edges noted; no change	F07	F07	P08	EVIDENCE.md M7	Runtime gearing pending	yes	yes	yes	no (journey)	no
F01-MODES	Mode profiles + precedence (M7 audit)	S/M: same quest defaults; modern values differ (preserved)	T: owned/random/BG profiles per engine; precedence live-cmd > saved snapshot > config override > factory defaults; empty override preserves defaults	None	implement	Mode table recorded. GAP: released-autonomous/free-alt/self-bot/always-online have identity but NO distinct behavior profile (plan §12 rows unmet)	F01	F01	P01/P21	EVIDENCE.md M7	Needs profile design + runtime	yes	yes	yes	no (profiles)	no
F11-CREATE	Population creation (M7 audit)	S: weighted/fixed provisioning + names/guilds; M: brackets	T: bounded discovery + 1/cadence auto-create (uniform pick, async retry, backoffs)	Distribution/level policy	implement	GAPS: uniform ignores parsed classRaceProbability (G5); NO RandomizeFirst full-kit (G1/G2); dormant instantRandomize/minLevel keys (G4)	F11	F11	P08	EVIDENCE.md M7	Needs first-init pipeline (compilable env)	yes partial	n/a	n/a	no	no
F12-ACTIVITY	Population activity/persistence (M7 audit)	S: DB event machine + clock-shift; M: prepared stmts	T: process-local maps; login-scatter only relocation; Repop loop revival; ChangeStrategy+gear cadence	Restart-persistent events	implement	GAPS L1-L12 (dynamic target, event machine, scheduled revive/teleport, persistent multipliers, offline groups/guilds, backpressure, brackets). Disabled-relocation-stays-disabled VERIFIED	F12	F12	P14	EVIDENCE.md M7	M9 scope; runtime soak pending	yes partial	n/a	n/a	no	no
F22-DATA	Data/caches/install (M7 audit)	S: bulk-generate zone levels; mature imports	T: schema-only ships; every reader degrades; clean-install safe; migration chain additive; owned data never dropped	Versioned dataset imports	implement	Travel/weights/texts/zone/fish datasets need import workflow (operator task, not code); GetValues stub also starves LoginCriteria	F22	F22	P23	EVIDENCE.md M7	Operator workflow pending	yes	yes	n/a	no	no
F23-BUFFCHAT	WorldBuff + chat + LLM (M7 audit)	S: identical gaps (GetValues empty; Generate empty)	T: synthetic-only-but-inert wbuff; travel-wbuff excluded; 12-channel throttled broadcast; LLM compiled-disabled both sides	Real config enumeration	implement	PARITY (both inert). Fix = F20 GetValues loader (M9/M10). No divergence to port	F23	F23	P22	EVIDENCE.md M7	Blocked on F20	yes	yes	yes	no	no
F15-BG-PLAY	BG objective tactics (M8 audit)	M: Eye/Isle/Arena correctly absent (expansion); S: same base + disabled escort	T: WSG flag play + AB node assault/defense + AV objectives; death/spirit rules; interference guards; demand-only queue	Native SV/BR map rules	implement	AUDIT DONE. GAPS: G1 SV Sunnyglade zero tactics (native id5/map27); G2 BR arena zero tactics; G4 AB/AV flag-carrier triggers; G7 no BG raid-subgroup/heal-distribution	F15	F15	P18	EVIDENCE.md M8	Needs SV/BR tactic design + match runtime	yes partial	n/a	n/a	no	no
F24-RAID	Raid tactics applicability (M8 audit + fixes)	S: byte-identical 4 families (same bugs)	T: MC rune/GO match (douse-item mismatch noted); BWL suppression GO match (rogue-only partial); Onyxia fight EMPTY; FIX: 4H teardown name + Naxx enter/leave wiring; void-zone creators still missing	Native boss/GO/spell IDs	implement	AUDIT + 2 STRING-ONLY FIXES. No per-boss competence claims; 8/13+ bosses per raid have zero tactics	F24	F24	P24	EVIDENCE.md M8	Runtime encounter proof pending	yes partial	yes partial	n/a	no	no
F24-TORTOISE	Tortoise-only content map (M8 audit)	No donor coverage	T: ZERO bespoke tactics for Lower/Upper Kara, Crypt, Crescent, Gilneas, HFQ, SV; generic participation only; LFT aliases for 4 maps; KARAZHAN guard would reject all 15 Kara files verbatim	Native map/mechanic IDs	implement	MAP DONE, NO PORTS. Denylist narrowing queued (M8/M10): guard must allow Tortoise Kara files	F24	F24	P24	EVIDENCE.md M8	30 mechanic rows need evidence	yes (map)	no	n/a	no	no
F09-PERSONAL	Personal AH paths (M9 audit)	S/M: same consumer shape	T: sell/bid/buy via session handlers; valuation fallbacks; per-unit median; faction via house map; 8h posts	None	implement	Intact but price-blind (mirror empty). FIX: lowest-buyout now true per-unit min (was listing total)	F09	F09	P09/P10	EVIDENCE.md M9	Runtime fixture proof pending	yes	yes	yes	no	no
F10-SEAM	Full-market seam spec (M9 audit)	SAH 12-capability gap table; donor core snapshot/Guard/paged/Expire/itemCount	T: sell-only slice	Generic core: paged snapshot + Guard + MarketPost/Bid/Expire primitives	implement	SPEC DONE (companion core proposal, M10): snapshot/Guard for F09 race; Post/Bid/Expire for synthetic supply. No direct map/DB writes in module; no fake parity	F10	F10	P11-P13	EVIDENCE.md M9	Blocked on core proposal + compile	yes (slice)	yes (slice)	n/a	no	no
F13-GROUPS	Random groups + recruitment (M9 audit)	S/M: manager/security + task policies	T: GrouperType roles; invite/accept/leave/release flows; LFG composition tables; durable-vs-transient ownership distinguished	None	implement	Paths mapped. GAPS: no hardcore guard in group paths; modern task loop + managed-guild surface missing (M10 design)	F13	F13	P15	EVIDENCE.md M9	Runtime group proof pending	yes	yes	yes	no (flow)	no
F13-GUILDS	Guild create/recruit/orders (M9 audit)	S: charter/sign/turn-in + orders; M: GuildTaskMgr	T: petition buy/offer/sign/turn-in; MOTD/orders; craft/AH/quest/share completion; join binds no ownership	Rank/permission/data needs	implement	Flows mapped. GAPS: no level gate on joins; share bot→bot only; SAH ownership + arena parity missing	F13	F13	P16	EVIDENCE.md M9	Runtime guild proof pending	yes	yes	yes	no (flow)	no
F14-LFT	LFT fill policy (M9 audit)	S: queue intent; M: LFG tables	T: demand-only fill; role=talent-enum; hardcoded addon range table (conf comment FIXED — was claiming DBC)	Kit-based eligibility + DBC/custom mapping	implement	AUDIT + DOC FIX. GAPS: roles ignore learned kit (feral always tank); autonomous grouping absent by design; custom-token mapping unvalidated	F14	F14	P17	EVIDENCE.md M9	Runtime fill proof pending	yes	yes	yes	no (policy)	no
F25-SCHED	Scheduling + soak plan (M9 audit)	S: retry/TTL/path-retry/crowd/slice budgets	T: cadence pollers; emergent fail-closed arbitration (NO central arbitrator); per-tick clean	Retry/backoff + arbitration + budgets	implement	SPEC DONE. GAPS: no engine backoff; solo-idle triple-eligibility order; restart orphans (BG/LFT queues); measurement plan written, numbers pending runtime	F25	F25	P25/P26	EVIDENCE.md M9	Soak pending	yes	yes	yes	no	no
F16-COMMANDS	Command registry + selectors (M10 audit)	S: 12 holder + 42 bot keys; M: playerbots root table	T: .bot ~20 verbs + delegation + dynamic party scope; NO holder table, NO bulk fan-out, NO comma/group/all/guild/filtered selectors	None	implement	GAPS: uncovered holder/maintenance/ops commands listed; mixed-authority bulk silently dropped (single ACK)	F16	F16	P19	EVIDENCE.md M10	Runtime auth proof pending	yes partial	yes partial	n/a	no	no
F17-PRESETS	Strategies/presets/durable intent (M10 audit)	S/M: preset interfaces	T: inherited whisper-only save/load/list/reset + DbStore guid/preset/rows	Exposed ops + migration diagnostics	implement	GAPS: no .bot inspect/list/select/save/reset; no preset edit flow; no version field; no atomicity/revert proofs	F17	F17	P20	EVIDENCE.md M10	Runtime preset proof pending	yes	yes	yes	no	no
F18-SELF	Self-bot/always-online (M10 verdict)	S: self attach + always values; M: self paths	T: Headless-only lifecycle; freeAlt identity; NO Network-session attach seam	Generic control seam	implement	BLOCKED (honest): native PlayerAI is not a control seam; Headless conversion would be false implementation. Proposal queued	F18	F18	P21	EVIDENCE.md M10	Blocked, not excluded	yes (identity)	n/a	n/a	no	no
F19-TRADE	Trade/mail/bank/guild utilities (M10 audit)	S/M: same families	T: native-routed trade/bank/invite/manage; mail TAKE-ONLY (no send/COD/return); GuildBank ZERO-false	Mail send path	implement	GAPS: mail send/COD/return absent; tweakValue zero consumers; guildMaxBotLimit conf mismatch	F19	F19	—	EVIDENCE.md M10	Runtime transfer proof pending	yes partial	yes partial	n/a	no	no
F20-GETVALUES	Config enumeration fix (M10 FIX)	Donor: same stub (segfault note)	T: PlayerbotAIConfig.cpp GetValues now walks native GetRootSections/GetKeys + first-match values	None	implement	FIXED module-only, no core change: WorldBuff/LoginCriteria families load real values; inert when unconfigured. Dotted-family + first-match rules	F20	F20	P22	EVIDENCE.md M10	Runtime config proof pending	yes	yes	yes	no	no
F21-ADDON	Addon feature access (M10 audit)	W: strategy/spell/item views	T: 4 tabs + 13 intents + TBM: protocol; discovery stub (fail-open); mature-forward hidden	Server verbs + discovery	implement	GAPS: 5 server-without-UI controls (quest/autonomy, presets, spell inspect/cast, inventory/trade, service status)	F21	F21	—	EVIDENCE.md M10	Addon tests + client journeys pending	yes	yes	n/a	no	no
F26-KARA-SPEC	KARAZHAN guard narrowing (M10 spec, NO EDIT)	15 Tortoise files would FATAL verbatim	T: guard path-substring over module sources; zero current files rejected	 —	implement	SPEC: exempt LOWER/UPPER[_-]?KARAZHAN + KARAZHAN[_-]?CRYPT before line 179; keep alternatives + FATAL. Needs file-by-file review + build	F22/F24	F24	P24	EVIDENCE.md M10	Spec only	yes	n/a	n/a	no	no
